Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,23.400000,23.400000,23.400000,23.400000,22.555206,300
2017-11-16,23.400000,23.400000,23.400000,23.400000,22.555206,0
2017-11-17,24.660999,24.660999,24.655001,24.655001,23.764894,400
2017-11-20,24.386000,24.459000,24.386000,24.459000,23.575974,700
2017-11-21,24.900000,24.950001,24.900000,24.910000,24.010687,5100
2017-11-22,26.000000,26.000000,25.049999,25.520000,24.598667,34800
2017-11-24,25.400000,25.540001,25.290001,25.290001,24.376970,16000
2017-11-27,25.620001,27.799999,24.730000,24.737000,23.843933,20800
2017-11-28,25.150000,26.200001,25.150000,25.219999,24.309498,4400
2017-11-29,26.500000,26.500000,25.305000,25.500000,24.579384,10500
2017-11-30,25.730000,26.339001,25.705000,26.339001,25.388102,7200
2017-12-01,26.219999,26.809999,22.030001,26.360001,25.408339,67100
2017-12-04,28.500000,28.500000,26.379999,26.379999,25.427618,4900
2017-12-05,26.420000,26.459000,25.719999,26.230000,25.283035,3400
2017-12-06,25.469999,25.469999,23.941000,24.860001,23.962490,3800
2017-12-07,24.430000,24.830000,24.430000,24.830000,23.933577,600
2017-12-08,24.510000,25.510000,24.510000,25.510000,24.589027,400
2017-12-11,26.840000,28.240000,26.840000,27.000000,26.025232,2800
2017-12-12,27.209999,30.990000,27.202000,27.490000,26.497545,7000
2017-12-13,28.540001,31.004999,28.459999,28.601999,27.569397,10700
2017-12-14,29.090000,29.740000,25.900000,27.049999,26.073431,6100
2017-12-15,26.700001,27.865000,25.230000,27.709999,26.709600,8200
2017-12-18,29.610001,29.610001,27.785999,28.021000,27.009373,3100
2017-12-19,27.780001,27.780001,26.190001,27.452000,26.474142,5800
2017-12-20,27.870001,27.870001,26.360001,26.959999,25.999670,4900
2017-12-21,27.350000,27.702999,27.350000,27.600000,26.616871,4900
2017-12-22,27.344999,27.520000,27.230000,27.520000,26.539722,3100
2017-12-26,27.520000,27.520000,27.520000,27.520000,26.539722,400
2017-12-27,28.030001,28.040001,27.802000,27.802000,26.811682,2200
2017-12-28,27.670000,27.670000,26.806999,26.806999,25.852116,700
2017-12-29,27.309999,27.309999,26.945999,27.209000,26.239798,1500
2018-01-02,27.219999,28.355000,27.219999,28.355000,27.344976,1000
2018-01-03,29.040001,31.040001,28.752001,29.879999,28.815659,17200
2018-01-04,30.240000,30.311001,29.230000,29.600000,28.545631,6100
2018-01-05,29.600000,30.275000,29.400000,30.275000,29.196587,10000
2018-01-08,30.490000,31.589001,28.600000,29.670000,28.613138,13600
2018-01-09,30.090000,31.589001,30.090000,30.910000,29.808968,4600
2018-01-10,30.990000,31.000000,29.950001,30.360001,29.278559,4800
2018-01-11,30.730000,31.579000,30.670000,31.520000,30.397236,19200
2018-01-12,31.980000,33.430000,31.745001,32.180000,31.033728,18700
2018-01-16,32.799999,42.900002,31.309000,31.850000,30.715485,21300
2018-01-17,32.160000,33.089001,31.730000,32.674999,31.511095,9000
